cu,bs,ru,lt,cnl,mp,bl,bt,ram,rm,jit,dly,bw,mos
22,0,68.977673,5,0,0.76,52,0,851,2,5.78,154.524,999,Excellent
9,9,72.855464,34,1,5.5,68,19.135,851,2,38.398,165.844,234,Poor
10,5,72.150411,34,1,5,76,14.26,851,2,35.059,127.6,199,Bad
12,0,68.155112,5,0,0.059,78,0,851,2,18.03,170.58,1076,Excellent
17,6,69.524369,30,0,5.3,69,14.713,1703,2,19.068,167.242,359,Poor
22,4,72.502938,7,0,0.58,53,4.252,851,2,9.236,122.8,716,VeryGood
10,2,67.450059,12,0,0.12,98,4.996,851,2,33.43,161.393,980,VeryGood
15,11,70.622797,11,0,0.19,60,6.185,851,2,82.822,163.87,711,Good
12,11,76.615746,11,0,0.1,100,7.186,851,2,45.215,155.112,716,Good
10,0,87.900724,8,0,0.059,49,0,967,2,14.064,111.289,1130,Excellent
42,6,68.358209,10,0,0.61,67,11.537,335,1,3.23,148.757,716,Good
15,4,73.913043,28,1,5.5,55,14.339,851,2,28.188,261.422,69.4,Bad
10,0,71.32785,5,0,0.29,64,0,851,2,6.773,227.791,1002,Excellent
7,0,68.860165,5,0,0.29,70,0,851,2,16.968,110.802,969,Excellent
11,3,67.450059,8,0,0.58,97,4.335,851,2,22.59,161.17,716,VeryGood
11,1,88.107549,14,0,0.56,51,13.211,967,2,15.085,115.919,709,VeryGood
16,3,72.620447,5,0,0.66,61,11.668,851,2,16.08,110.236,691,VeryGood
16,5,70.622797,12,1,5.8,72,12.503,851,2,18.98,165.167,95.8,Bad
25,12,75.088132,10,0,0.24,71,6.004,851,2,16.503,130.127,719,Good
8,12,76.615746,11,0,0.59,65,5.503,851,2,14.245,228.358,693,Good
26,11,69.682726,40,1,6,62,25.107,851,2,18.954,234.789,173,Bad
10.4587,0,69.212691,5,0,0,55,0,851,2,4.888,169.339,1088,Excellent
13.2564,1,59.375,6,0,0.18,85,4.017,1856,3,29.713,167.426,1117,Excellent
21,0,68.069121,7,0,0.24,41,0,1331,2,4.395,155.979,1142,Excellent
12,2,75.088132,7,0,0.47,74,3.502,851,2,38.288,113.877,1128,VeryGood
15,1,69.682726,7,0,0.57,75,4.003,851,2,40.988,131.295,717,VeryGood
42,1,70.746269,7,0,0,36,4.525,335,1,4.264,164.385,1124,VeryGood
15,7,70.924117,11,0,0.58,38,10.011,1331,2,4.324,155.189,715,Good
8,13,84.213362,9,0,2.5,35,6.789,1856,3,6.748,125.368,315,Poor
26,4,70.323065,27,1,4.9,36,20.268,1331,2,19.793,207.244,179,Bad
80,3,84.06015,21,1,5.8,72,28.056,665,1,39.009,254.544,112,Bad
12,1,69.196093,6,0,0,33,8.003,1331,2,4.462,210.993,1037,Excellent
16,1,68.970699,11,0,0.6,32,9.012,1331,2,3.15,204.893,644,Excellent
60,1,66.176471,7,0,1.8,86,4.02,408,1,4.535,175.311,1145,Excellent
64,0,75.735294,5,0,2.2,79,0,408,1,14.33,232.166,1105,Excellent
9,1,63.487738,9,0,0.059,93,5.032,1835,3,4.317,302.292,904,Excellent
36,0,80.769231,12,0,0.57,46,0,468,1,27.007,228.057,715,Excellent
15,1,83.459052,6,0,2.4,66,5.003,1856,3,6.938,117.461,1134,Excellent
8,3,63.978202,10,0,0.62,91,5.689,1835,3,4.539,267.852,676,Good
11,7,71.713362,9,0,4.8,88,7.868,1856,3,6.236,233.345,381,Good
69,3,81.954887,19,1,4.9,83,18.536,665,1,33.086,215.166,335,Poor
78,1,84.661654,11,0,0.68,76,7.038,665,1,29.158,246.928,1088,VeryGood
8,5,62.016349,29,1,4.8,97,25.369,1835,3,21.476,281.716,170,Bad
15,0,71.142521,7,0,0.56,64,0,849,2,3.376,110.794,718,Excellent
15,2,69.257951,7,0,0.51,63,3.007,849,2,8.2,115.888,1145,VeryGood
79,1,73.77451,7,0,0.58,79,5.024,408,1,3.075,254.062,715,VeryGood
15,3,75.323149,7,0,3.3,76,6.671,851,2,38.327,123.878,817,VeryGood
15,3,77.20329,14,0,2.9,75,5.337,851,2,5.603,160.62,1039,VeryGood
12,5,84.913793,9,0,3.1,30,6.224,1856,3,16.731,191.075,554,Good
15,5,74.148061,10,0,5.5,79,7.802,851,2,13.26,144.702,644,Good
16,0,82.462687,6,0,0.059,87,0,804,2,36.435,291.787,1173,Excellent
27,1,79.228856,8,0,5.5,85,6.029,804,2,13.391,363.847,716,VeryGood
11,20,50.027248,14,0,5.8,39,13.577,1835,3,2.271,226.342,318,Bad
13,4,84.859914,62,0,5.5,18,35.875,1856,3,31.005,153.678,51.8,Bad
13,2,84.536638,14,1,2.9,17,45.185,1856,3,20.843,265.914,367,Bad
11,1,83.189655,47,1,5.3,19,30.585,1856,3,30.599,169.523,65.7,Bad
14.236,1,85.12931,8,0,0.059,45,4.013,1856,3,13.607,270.852,971,Excellent
7,7,70.635776,14,0,3.2,58,9.872,1856,3,35.098,241.066,591,Good
8,0,83.135776,5,0,0.29,18,0,1856,3,36.444,221.287,1508,Excellent
27,11,74.383079,14,1,6.1,45,8.643,851,2,6.127,220.633,227,Poor
12,1,75.107759,12,0,0.059,56,4.081,1856,3,18.06,265.09,794,Excellent
13,2,86.260776,18,0,0.58,43,4.009,1856,3,14.264,267.759,704,VeryGood
9,18,56.566757,9,0,5.7,43,10.859,1835,3,15.779,208.202,424,Bad
8,12,74.500588,22,1,5.3,47,12.642,851,2,2.037,121.834,435,Poor
9,2,75.646552,8,0,0.57,53,4.521,1856,3,23.945,248.858,656,VeryGood
8,5,62.392241,7,1,6.1,54,4.77,1856,3,1.962,114.659,603,Good
9,7,57.874659,14,0,4.6,46,10.446,1835,3,30.05,159.826,573,Good
27,3,84.357542,11,0,2.9,72,9.708,716,2,34.591,105.703,710,Good
9,6,84.859914,16,0,3.6,91,9.849,1856,3,44.395,276.969,323,Good
15,4,78.855721,23,0,2.8,86,16.024,804,2,17.569,252.407,482,Good
12,4,58.038147,21,0,2.4,44,6.029,1835,3,3.244,236.294,498,Good
15,4,56.893733,12,0,2.2,41,6.774,1835,3,16.568,208.907,651,Good
10,3,84.375,22,0,3,19,15.42,1856,3,3.751,118.992,348,Good
18,10,82.697474,20,1,4.4,75,26.26,1861,3,4.167,228.871,518,Poor
15,0,78.936056,3,0,2.8,70,0,1861,3,17.398,239.415,1048,Excellent
39,2,84.242424,6,1,2.4,63,15.032,825,1,2.521,230.318,218,Poor
42,3,86.787879,22,1,4.4,62,26.55,825,1,3.832,203.572,253,Bad
42,3,85.671642,21,0,5.3,76,18.709,335,1,1.808,364.63,265,Poor
8,8,88.469828,14,0,5.8,45,13.507,1856,3,16.595,181.562,207,Poor
10.52368,3,82.883875,25,1,6,21,34.598,1817,3,44.664,213.787,351,Poor
10,1,81.842672,6,0,0.059,58,3.003,1856,3,15.711,177.063,1207,Excellent
7,1,87.715517,5,0,0.55,39,3.001,1856,3,18.724,135.693,1480,Excellent
19,7,71.210341,18,0,2.8,44,14.006,851,2,30.395,226.207,536,Good
8,1,67.802585,8,0,0.059,40,4.01,851,2,35.882,175.541,663,VeryGood
9,7,72.26792,41,1,6.5,99,26.501,851,2,35.909,232.967,215,Poor
12,3,73.678026,25,1,7.6,49,14.499,851,2,33.744,225.237,194,Poor
15,14,85.344828,13,1,3.9,70,11.243,1856,3,13.513,129.101,400,Bad
19,1,82.338308,7,0,2.9,43,19.028,804,2,5.055,142.229,717,Good
46,5,77.377049,7,1,5.8,78,9.755,915,1,1.939,166.648,488,Good
22,0,70.505288,6,1,0,50,0,851,2,2.726,114.304,1525,Excellent
17,7,88.059701,12,1,2.4,53,15.039,804,2,16.92,156,798,Good
14,3,79.850746,13,1,2.5,40,16.031,804,2,45.09,199.119,457,Good
13,8,84.428879,12,1,5.8,55,8.513,1856,3,40.83,143.153,524,Good
10,10,70.152761,18,0,2.63,41,9.305,851,2,38.203,235.501,269,Poor
12,1,84.482759,5,0,0.24,48,3.005,1856,3,31.896,143.696,1231,Excellent
11,0,80.132086,4,0,0,26,0,1817,3,6.048,244.198,1296,Excellent
10,2,79.365932,11,0,2.9,72,14.515,1861,3,2.523,219.961,600,VeryGood
21,2,83.457711,10,0,5.8,46,9.025,804,2,17.912,130.006,580,VeryGood
14,3,80.8705,14,0,2.9,69,18.356,1861,3,20.962,262.496,433,Good
10,9,83.674569,13,1,5.9,51,8.77,1856,3,31.67,131.453,351,Good
8,1,70.096983,6,0,0.059,61,3.06,1856,3,13.066,176.672,1140,Excellent
22.91,4,85,26,1,0.27,43,16.712,464,1,64.179,423.521,308,Poor
67,0,89.595376,6,0,0.18,66,0,173,1,17.811,237.844,1212,Excellent
30,0,85,7,0,0.18,34,5.789,554,1,7.766,470.3,1173.8,Excellent
10,6,73.325499,16,0,7,24,12.004,851,2,31.68,122.706,331,Good
40.59,0,74,4,0,0.29,71,0,555,1,29.958,167.57,1138,Excellent
8,6,82.333517,16,0,5.7,17,20.591,1817,3,34.893,208.852,292,Poor
30.72,2,85,22,1,0.25,42,32.044,464,1,19.972,359.832,337,Poor
13,20,70.474138,13,0,6.1,64,13.222,1856,3,27.989,112.094,357,Bad
11.14,0,66,7,1,0,21,0,2884,3,4.173,304.903,1145,Excellent
12.4256,4,72.952667,31,0,6.6,84,31.233,1331,2,26.866,207.004,210,Bad
38,4,86.127168,62,1,6.1,73,50.375,173,1,15.135,602.272,211,Bad
12,0,74.716553,4,0,1.4,15,0,882,2,4.471,107.098,1493,Excellent
11,0,73.922902,6,0,0,10,0,882,2,2.201,196.635,1187,Excellent
33.05,2,85,41,1,9.1,45,44.057,464,1,25.176,390.905,51.5,Bad
43.04,3,74,23,1,6.5,74,26.062,555,1,41.743,333.824,92.8,Bad
20,0,72.952667,4,0,0.12,82,0,1331,2,28.338,107.071,1329,Excellent
27,1,73.24263,53,1,4.6,12,25.368,882,2,34.891,247.763,69.2,Bad
15,4,80,16,1,5.5,36,17.014,554,1,33.327,373.449,86.4,Bad
11,4,70.505288,15,1,4.9,57,13.671,851,2,18.415,160.503,210,Poor
9.2,8,70,18,0,2.5,56,10.14,1856,3,34.616,363.439,325,Poor
7.5632,4,71.174569,14,1,2.64,60,12.01,1856,3,28.936,303.135,421,Good
16.87,7,66,22,1,0.26,22,12.681,2884,3,50.244,366.194,337,Poor
50,0,74.626866,4,0,0,57,0,335,1,3.11,320.454,1127,Excellent
9,2,75.510204,37,1,6.3,14,21.019,882,2,37.57,245.555,129,Bad
18,5,73.403456,15,0,6.2,83,16.535,1331,2,24.543,138.252,271,Good
33.92,3,86,20,1,2.83,36,19.031,464,1,4.609,269.956,619,Good
8.91,8,68,9,1,5.3,33,7.009,1856,3,41.027,134.829,702,Good
22.26,5,81,16,0,0.25,90,21.641,1331,2,25.455,257.979,332,Poor
37.42,4,77,11,1,4.8,36,16.376,335,1,17.497,201.193,346,Bad
34.36,1,87,9,0,0.59,38,29.592,464,1,14.586,286.955,710,Good
14.89,3,73,8,0,5.3,43,4.333,851,2,5.215,183.034,720,VeryGood
9.22,12,66,12,1,3.8,94,15.476,1856,3,30.855,171.803,260,Poor
20.26,0,81,2,0,0.29,88,0,1331,2,31.485,144.535,1146,Excellent
23.33,3,81,13,0,0.079,86,17.023,1331,2,48.164,104.752,468,Good
15.7,7,73,18,1,2.5,35,10.865,851,2,42.519,323.13,267,Bad
13.5,4,70,7,0,1.7,80,6.262,888,2,174.859,277.478,1136,VeryGood
46.58,2,86,6,0,0.59,34,6.532,464,1,31.038,282.525,810,VeryGood
32.63,3,87,11,0,3,42,9.351,464,1,27.667,264.016,379,Good
9.07,2,66,9,0,0.6,96,5.521,1856,3,2.691,248.988,708,VeryGood
13.27,2,81,9,0,0.51,87,7.009,1331,2,34.08,134.93,714,VeryGood
16.209999,5,73,22,1,0.25,40,16.257,851,2,24.379,342.07,333,Poor
16.02,7,66,4,1,4.5,16,7.174,2884,3,20.278,164.655,679,Good
14.74,5,70,7,0,2.4,76,7.413,888,2,29.295,178.587,585,Good
17.84,1,46,12,1,2.8,77,12.012,1835,3,16.16,359.526,223,Poor
18.24,11,66,12,0,2.6,17,9.009,2884,3,51.222,564.778,210,Poor
13.95,2,70,10,0,0.61,78,4.997,888,2,37.396,656.335,701,VeryGood
15.37,7,73,17,0,0.25,32,9.718,851,2,34.968,334.638,325,Poor
37.39,1,77,7,0,0.29,40,5.009,335,1,30.375,214.379,1106,VeryGood
57.75,1,77,7,0,0.55,45,4.728,335,1,32.869,243.864,713,VeryGood
9.33,1,66,7,0,0,98,4.005,1856,3,4.2,358.803,1139,Excellent
45.44,2,87,6,0,0.55,40,6.518,464,1,14.739,255.117,1058,VeryGood
34.97,3,79,4,0,0.11,52,3.208,619,1,85.12,252.479,1106,VeryGood
16.041424,6,86,17,0,0.35,28,15.686,1861,3,37.055,339.041,318,Poor
9.63,5,70,6,0,3.2,72,6.011,1856,3,26.898,235.316,359,Poor
12.25,6,77,12,1,5.7,28,18.837,1796,3,4.432,121.217,534,Poor
34.630876,2,87,13,0,4.8,22,14.023,173,1,4.62,289.779,326,Good
42.105555,4,84,19,1,4.6,17,17.791,173,1,5.491,329.515,483,Poor
32.966236,4,81,21,0,5.5,55,18.291,460,1,8.668,161.023,514,Poor
34.431434,3,84,17,0,2.4,14,17.677,173,1,4.944,363.345,447,Poor
33.460825,4,81,18,1,5.6,46,16.373,460,1,3.325,211.917,460,Poor
44.080513,1,84,30,1,4.8,70,19.256,665,1,6.286,302.254,293,Bad
42,3,82.089552,74,1,4.6,8,22.688,335,1,46.509,240.937,472,Bad
10,0,64.277321,4,0,0,26,0,851,2,4.618,15.396,1149,Excellent
24,0,67.802585,4,0,0,25,0,851,2,6.817,13.818,1150,Excellent
53,0,71.044776,4,0,0.059,0,0,335,1,4.279,53.274,1148,Excellent
12.49,2,77,16,0,2.56,30,16.034,1796,3,37.183,130.323,665,Good
38.399244,3,70,25,1,0.35,12,19.511,173,1,28.664,455.003,332,Poor
38.530625,3,81,3,0,2.2,59,10.357,460,1,4.04,165.988,695,VeryGood
19,2,68.155112,6,0,0.56,23,4.017,851,2,2.953,11.136,718,VeryGood
34.580446,4,81,20,0,0.25,50,17.053,460,1,22.372,323.627,317,Poor
70,2,84.477612,7,0,0.12,10,5.37,335,1,16.728,147.734,1004,VeryGood
39.361772,4,81,7,0,5.3,62,11.567,460,1,8.043,110.737,599,Good
35.432008,2,72,11,0,5.3,82,10.028,335,1,4.045,361.682,365,Good
9.23,4,79,19,1,6.3,36,15.685,1856,3,37.463,377.967,289,Bad
10.5,2,77,11,0,2.3,26,11.529,1796,3,16.607,177.295,521,Good
39,4,81.005587,23,0,5.1,43,22.55,716,1,80.361,283.44,371,Good
16,10,62.942779,19,1,5.6,63,10.023,1835,3,35.724,270.775,432,Poor
11,5,67.510776,25,1,4.9,85,18.022,1856,3,32.302,335.64,296,Poor
39,0,84.776536,3,0,0,38,0,716,1,4.728,47.374,1152,Excellent
10,8,67.887931,41,1,5.2,80,12.177,1856,3,16.656,317.769,331,Poor
11,3,59.564033,14,1,4.6,75,12.009,1835,3,52.12,306.195,185,Poor
9,6,70.635776,29,1,5.1,73,17.007,1856,3,33.417,183.86,334,Poor
10,1,62.6703,7,0,0.059,53,4.026,1835,3,19.09,204.083,1144,Excellent
15.36,5,68,25,1,4.9,61,12.75,851,2,22.544,232.009,448,Poor
10,7,66.509988,11,1,5.3,76,9.576,851,2,16.912,175.507,387,Good
10,7,67.097532,25,1,5.2,72,12.005,851,2,41.725,104.142,550,Poor
7,0,66.157462,5,0,0.68,74,0,851,2,33.755,112.288,1149,Excellent
16,1,65.922444,7,0,0.54,77,3.001,851,2,24.529,110.477,678,VeryGood
16,3,66.864224,6,0,0,89,4.02,1856,3,7.361,128.091,1143,VeryGood
14,1,67.834052,6,0,0,83,5.062,1856,3,6.455,201.185,1100,Excellent
38,4,83.379888,26,0,0.29,45,25.801,716,1,4.27,16.769,241,Poor
30,6,74.029851,15,0,5.3,2,20.084,335,1,22.809,230.479,293,Good
52,1,88.128492,3,0,0,39,5.015,716,1,4.337,17.997,1149,VeryGood
35,6,82.38806,11,0,5.3,3,12.479,335,1,37.438,190.405,682,Good
10,3,67.726293,8,0,0.53,86,3.677,1856,3,7.776,125.547,706,VeryGood
15,2,0.687078,7,0,6.5,58,5.007,851,2,3.854,11.651,718,VeryGood
17,2,68.588362,8,0,0.57,81,4.521,1856,3,4.3,178.68,714,VeryGood
14,2,67.564655,7,0,0,77,6.046,1856,3,8.023,227.99,1055,VeryGood
8,2,70.474138,9,0,0.58,75,4.022,1856,3,5.612,245.847,707,VeryGood
9,0,67.920094,5,0,0.059,64,0,851,2,17.975,224.849,1068,Excellent
45,11,73.478261,18,0,2.4,57,17.956,460,1,28.282,165.702,591,Good
51,10,76.304348,15,0,2.3,49,16.244,460,1,21.752,163.089,448,Good
35,8,71.73913,14,0,4.5,47,17.926,460,1,4.133,112.073,476,Good
42,8,87.430168,12,1,5.2,35,16.669,716,1,9.153,121.749,425,Good
16,6,70.387779,11,0,5.2,69,4.837,851,2,18.581,113.151,372,Good
36.09,2,87,47,1,5,32,26.836,468,1,5.355,209.156,371,Poor
39,2,76.256983,9,0,2.5,27,9.027,716,1,19.468,128.392,596,Good
39,4,77.932961,18,0,4.8,26,15.035,716,1,3.98,170.625,522,Poor
38,3,80.865922,22,0,5.7,24,20.713,716,1,8.308,179.212,461,Poor
41,9,82.681564,17,1,5.8,20,12.788,716,1,3.375,231.023,465,Good
15.9,0,80,5,0,0.53,80,0,2884,3,6.908,119.292,1148,Excellent
37.25,3,87,34,1,5.6,28,23.563,468,1,12.383,222.577,301,Poor
46,3,79.130435,14,0,2.7,63,20.041,460,1,15.788,259.148,777,Good
19.92,4,57,12,0,2.8,90,9.768,1856,3,8.161,264.138,890,VeryGood
8,1,66.392479,7,0,0.59,66,4.001,851,2,34.479,161.99,712,VeryGood
50,1,75.217391,10,0,0.55,65,9.024,460,1,15.177,242.363,704,VeryGood
12,9,65.3349,11,1,0.65,70,6.629,851,2,18.858,167.957,640,Good
14.68,2,85,7,0,0.56,80,6.508,2884,3,4.066,117.705,725,VeryGood
48,6,77.826087,11,0,0.56,60,11.035,460,1,31.385,219.09,711,Good
16.54,4,75,22,1,0.25,80,13.14,2884,3,31.679,347.021,338,Good
38,4,81.284916,15,1,5.5,23,20.381,716,1,3.059,218.718,186,Poor
39,1,80.167598,14,0,2.4,21,10.046,716,1,4.725,235.308,613,VeryGood
19.97,6,78,8,0,5.1,83,12.369,1796,3,70.874,186.956,730,Good
19.940001,2,85,29,1,2.5,74,23.43,967,2,39.146,273.845,330,Poor
11.86,1,89,50,1,5.5,73,20.546,967,2,43.649,219.442,324,Bad
34,1,78.26087,11,0,0.65,61,7.035,460,1,30.762,221.302,967,VeryGood
38,1,73.043478,6,0,2.4,54,10.027,460,1,4.311,111.363,683,VeryGood
16,4,68.507638,13,1,0,65,8.668,851,2,3.24,221.356,455,Good
8.91,4,75,10,1,2.9,87,16.039,1856,3,35.416,184.284,494,Bad
28.31,4,89,29,0,2.3,22,17.842,468,1,19.215,115.043,342,Good
9.867289,0,77,4,0,0.29,66,0,851,2,43.169,379.25,1478,Excellent
10.75,10,81,11,1,2.7,71,21.681,1860,3,31.768,205.51,346,Poor
15.23,0,76,7,0,0.59,22,0,851,2,20.607,243.314,1271,Excellent
14.87,5,79,16,0,4.3,17,21.279,1853,3,41.494,310.95,290,Good
8.83556,0,77,5,0,0.059,64,0,851,2,41.425,380.853,1125,Excellent
16.8134,7,77,24,0,6.2,68,28.019,851,2,210.303,715.896,85.5,Bad
15.993798,7,77,64,1,5.2,69,43.022,851,2,185.085,810.173,110,Bad
47,0,75.217391,3,0,0.62,73,0,460,1,53.869,214.059,1111,Excellent
15.19,3,48,10,0,0.63,79,7.003,1835,3,16.205,294.592,682,VeryGood
69,3,78.431373,20,0,0.57,83,4.344,408,1,4.281,163.618,696,VeryGood
15.16,2,76,19,1,2.59,24,15.007,851,2,16.9,240.905,562,Good
10.481118,0,72,7,0,0,57,0,851,2,1.735,386.133,1462,Excellent
13.16,7,45,11,0,2.57,47,8.878,1835,3,21.083,234.569,617,Good
9.75,7,78,14,0,5.85,39,7.437,694,2,18.293,122.607,348,Good
10.777475,19,74,19,0,4.6,53,12.612,851,2,3.84,161.903,513,Bad
9.020662,14,72,26,1,5.1,54,20.552,851,2,9.08,164.866,262,Bad
7.222039,13,79,40,1,6.6,77,22.176,851,2,89.771,570.959,235,Bad
8.088307,13,79,34,1,5.8,79,25.014,851,2,114.57,572.737,276,Bad
7.178558,8,77,44,1,10,73,50.17,851,2,141.143,719.13,110,Bad
8.394749,0,72,5,0,0,64,0,851,2,4.691,164.399,1144,Excellent
9.2,3,78,30,1,5.1,39,13.505,694,2,34.517,93.062,185,Bad
9.67,5,75,10,0,5.6,90,9.009,1856,3,22.49,127.104,645,Good
11,1,70.204741,5,0,0.56,71,4.01,1856,3,14.448,168.17,1102,Excellent
13,2,56.573276,8,0,0.62,88,5.512,1856,3,39.156,174.855,687,VeryGood
8.942059,2,72,12,0,2.6,52,6.495,851,2,4.071,162.248,857,VeryGood
12.966117,4,72,8,0,5.5,57,6.498,851,2,3.779,164.306,574,Good
10.413386,11,75,11,0,5.8,62,6.183,851,2,4.119,382.074,710,Good
19,18,67.726293,13,1,6.2,68,9.563,1856,3,28.243,130.624,353,Poor
23,4,72.952667,31,0,6.6,84,31.233,1331,2,26.866,207.004,210,Poor
38.73,1,88,20,1,6.45,19,30.485,468,1,18.165,170.133,165,Bad
41,7,84.357542,22,0,2.9,42,24.621,716,1,4.125,12.841,240,Poor
8.749619,0,72,4,0,0,64,0,851,2,1.944,164.246,1523,Excellent
8.437205,2,72,7,0,2.55,65,6.494,851,2,3.22,165.12,722,VeryGood
6.887749,12,79,35,0,8,78,13.506,851,2,80.091,517.846,274,Poor
9.864225,16,75,24,1,6.5,61,14.54,851,2,5.261,761.115,328,Bad
